=== overpass_pois: 593 elements; osm3s=2026-09-04T15:32:36Z
{'station': 76, 'hospital': 373, 'other': 63, 'fire_station': 11, 'government': 43, 'school': 4, 'library': 1, 'pumping_station': 13, 'tunnel': 5, 'parking': 2, 'wastewater_plant': 1, 'cinema': 1}
  way/910256811 | Colaba Pumping Station | wastewater_plant | 18.90793 72.81895 | admin_level= | operator=
  way/931947215 |  | pumping_station | 19.20977 72.98257 | admin_level= | operator=
  way/1060046624 | MCGM H West Ward Office |  | 19.07274 72.83966 | admin_level= | operator=
  way/1104696784 |  | pumping_station | 18.98019 72.83638 | admin_level= | operator=
  way/1127314714 | BMC M Ward Office |  | 19.06111 72.89911 | admin_level= | operator=
  way/1289073487 | Storm Water Pumping Station - Haji Ali | water_works | 18.97866 72.81228 | admin_level= | operator=MCGM
  way/1289081182 | Love Grove Sewage Pumping Station | wastewater_plant | 18.99243 72.81591 | admin_level= | operator=
  way/1378123580 | BMC Matunga Sewage Water Pumping Station | pumping_station | 19.02268 72.84840 | admin_level= | operator=MCGM
  way/1382934733 |  | pumping_station | 19.27644 72.86368 | admin_level= | operator=
  way/1526167373 |  | pumping_station | 19.06357 72.83766 | admin_level= | operator=
  way/1552519270 | BMC Chinchpokli Sewage Water Pumping Station | pumping_station | 18.98500 72.83690 | admin_level= | operator=MCGM
  relation/17333009 | Bus 270: Mahapalika Pumping Centre Malvani => Malad Station W |  | 19.18999 72.83649 | admin_level= | operator=The Brihanmumbai Electric Supply & Transport Undertaking
  relation/17333010 | Bus 270: Malad Station W => Mahapalika Pumping Centre Malvani |  | 19.18993 72.83593 | admin_level= | operator=The Brihanmumbai Electric Supply & Transport Undertaking
=== overpass_wards: 53 elements; osm3s=2026-09-04T15:35:41Z
{'administrative': 53}
  way/280668341 | Dharavi | administrative | 19.04556 72.85678 | admin_level=10 | operator=
  way/324059134 | Garib Nagar | administrative | 19.05538 72.84152 | admin_level=10 | operator=
  way/324061338 | CPWD Colony | administrative | 19.09947 72.86692 | admin_level=10 | operator=
